month,activity,cortisol
-36,working,22
-36,resting,11
-36,meditating,12
-30,working,15
-30,resting,9
-30,meditating,7
-26,working,25
-26,resting,14
-26,meditating,13
-20,working,21
-20,resting,14
-20,meditating,10
-18,working,14
-18,resting,12
-18,meditating,6
-12,working,15
-12,resting,7
-12,meditating,5
-10,working,19
-10,resting,11
-10,meditating,8
-8,working,17
-8,resting,10
-8,meditating,7
-6,working,13
-6,resting,8
-6,meditating,6
-3,working,12
-3,resting,5
-3,meditating,4
0,working,9
0,resting,6
0,meditating,3
